"ID";"nom";"temps";"nbPersonnes";"Directions"
1;"Soupe de lentilles & patates douces";40;2;"{'Etape1': 'Pelez l oignon et émincez-le finement. Pelez et dégermez les gousses d#ail.', 'Etape2': 'Lavez puis éplucher les carottes et les patates douces. Coupez tout ce petit monde en petits cubes.', 'Etape3': 'Faites revenir les oignons pendant 1 min dans une casserole avec un filet d#huile d#olive.', 'Etape4': 'Ajoutez ensuite les patates douces et les carottes.','Etape5': 'Faites les revenir à feu vif pendant 5 min.','Etape6': 'Ajouter les lentilles et, selon vos goûts, salez et poivrez.','Etape7': 'Ajoutez de l#eau à niveau et laisser mijoter à couvert à feu doux pendant environ 20 min. Les légumes sont cuits lorsqu#ils peuvent s#éraser facilement.','Etape8': 'Mixer la soupe pour obtenir la texture de votre choix. enthe, du jus de citron et pour' , 'Etape9': 'La soupe est prête ! Lors de la dégustation, vous pouvez ajouter quelques feuilles de menthe, du jus de citron et pour les plus gourmands de la crème fraiche.', 'commentaire': 'Vous pouvez également tester cette recette avec du potiron!'}"
2;"Riz, curry de chou-fleur et pois chiches ";55;2;"{'Etape1': 'Mettre de l#eau à bouillir pour la cuisson des pâtes.','Etape2': 'Pelez l#oignon et émincez-le finement.','Etape3': 'Pelez la citrouille. Coupez la en petits cubes d#environ 2/3 cm.','Etape4': 'Faites revenir les oignons et la citrouille dans une poêle avec un filet d#huile d#olive. Salez et poivrez selon vos goûts.','Etape5': 'Couvrez et faites cuire 15 min à feu moyen, ajoutez un peu d’eau si nécessaire.','Etape6': 'Pendant ce temps, plongez les pates dans l#eau bouillante et laisser cuire.','Etape7': 'Une fois le tout cuit, mélangez les pâtes et la préparation à la citrouille.','Etape8': 'Saupoudrez de parmesan et et de persil.','Etape9': 'Votre plat est prêt !'}"
3;"Tagliatelles à la citrouille";35;2;"{'Etape1': 'Préchauffez le four à 200°C.','Etape2': 'Lavez et émincez les poireaux finement.','Etape3': 'Faites les revenir dans une poêle avec une noisette de beurre. Laissez cuire 5min à feu vif.','Etape4': 'Une fois placée dans un moule à tarte, piquez la pâte avec une fourchette. Une fois le four chaud, faites précuire la pâte 5min.','Etape5': 'Ajoutez le vinaigre balsamique et laisser cuire 5min supplémentaires.','Etape6': 'Dans un saladier, mélangez les oeufs, le lait, la crème, sel, poivre et fouettez le tout énergiquement.','Etape7': 'Sortez la pâte du four, répartissez les poireaux dans le fond.','Etape8': 'Puis versez la préparation à quiche par dessus et ajoutez le brie en tranches.','Etape9': 'Enfournez la quiche pendant 30 minutes.','Etape10': 'La quiche est prête !Accompagnée d#une salade verte ?'}"
4;"Quiche poireaux et brie";50;4;"{'Etape1': 'Mettre de l#eau à bouillir pour la cuisson des pâtes.','Etape2': 'Pelez l'oignon et émincez-le finement.','Etape3': 'Pelez la citrouille. Coupez la en petits cubes d#environ 2/3 cm.','Etape4': 'Faites revenir les oignons et la citrouille dans une poêle avec un filet d#huile d#olive. Salez et poivrez selon vos goûts.','Etape5': 'Couvrez et faites cuire 15 min à feu moyen, ajoutez un peu d’eau si nécessaire.','Etape6': 'Pendant ce temps, plongez les pates dans l#eau bouillante et laisser cuire.','Etape7': 'Une fois le tout cuit, mélangez les pâtes et la préparation à la citrouille.','Etape8': 'Saupoudrez de parmesan et et de persil.','Etape9': 'Votre plat est prêt !'}"
5;"Lasagnes à la viande";75;4;"{'Etape1': 'Pelez l#oignon et émincez-le finement. Pelez et dégermez les gousses d#ail.','Etape2': 'Faites revenir les oignons et l#ail dans une casserole avec un filet d#huile d#olive.','Etape3': 'Ajoutez la pulpe de tomate et assaisonnez (sel, poivre, herbes aromatiques...).','Etape4': 'Laissez mijoter à feu doux pendant 20min. Vous pouvez ajouter 2 morceaux de sucre pour adoucir la sauce.','Etape5': 'Pendant ce temps, faites chauffer un peu d#huile d#olive dans une poêle pour faire revenir la viande à feu moyen pendant 3 à 5 minutes.','Etape6': 'Une fois la viande cuite, mélangez la  la sauce préparée.','Etape7': 'Pour la béchamel, dans une casserole, faites fondre le beurre, et ajoutez la farine hors du feu. Mélangez. Ajoutez le lait très progressivement en mélangeant. Replacez sur feu doux et laissez épaissir pendant quelques minutes.','Etape8': 'Beurrez un plat, et y déposer une couche de béchamel, puis une couche de lasagnes, et une de sauce tomate à la viande parsemée d#emmental râpé. Répétez l#opération jusqu#à épuisement des ingrédients en terminant par de la béchamel, et saupoudrez avec du parmesan râpé.','Etape9': 'Enfournez pendant environ 45 minutes.','Etape10': 'Les lasagnes sont prêtes !','Etape11': '','commentaire': 'Vous pouvez également tester cette recette avec des aubergines, courgettes et poivrons pour remplacer le boeuf !'}"
6;"Riz sauté au poulet et aux légumes";30;2;"{'Etape1': 'Coupez le poivron et l#oignon en cubes. Lavez, pelez et coupez en petits morceaux la carotte.','Etape2': 'Faites bouillir de l#eau et cuire le riz selon les indications du paquet.','Etape3': 'Dans une poêle (ou un wok), faites chauffer l’huile à feu vif.','Etape4': 'Saisissez le poivron, l’oignon et la carotte 2min.','Etape5': 'Ajoutez le poulet, l’ail, le riz et la sauce soja. Chauffer de 3 à 4 minutes à feu vif en remuant. Rectifier l’assaisonnement si besoin.','Etape6': 'Avant de servir, ajoutez l’huile de sésame et les petits pois. Vous pouvez saupoudrer de graines de sésame et de coriandre selon vos goûts.'}"
7;"Riz sauté au tofu et aux légumes";30;2;"{'Etape1': 'Pelez les oignons, la gousse d’ail et les émincez.','Etape2': 'Lavez et coupez les carottes en petits morceaux. Coupez également le tofu en petit dés.','Etape3': 'Dans un bol, préparez la marinade en mélangeant la sauce soja, la citronnelle et le miel.\nAjoutez le tofu et réserver au frais pendant 1h.','Etape4': 'Faites bouillir de l#eau et cuire le riz selon les indications du paquet.','Etape5': 'Faites chauffer l’huile dans une poêle','Etape6': 'Faites revenir l’oignon et l’ail dans une poêle avant d’ajouter les légumes.','Etape7': 'Battez l#œuf et versez le dans la poêle. Mélangez.','Etape8': 'Ajoutez le riz et le tofu et faites revenir pendant 5 minutes.'}"
8;"Gratin à l'italienne";40;1;"{'Etape1': 'Faire cuire les macaronis','Etape2': 'Préchauffer le four à 180°C','Etape3': 'Dans casserole, faire chauffer la crème fraîche et ainsi que 20g de parmesan. Ensuite, retirer du feu et ajouter le jambon coupé en dés','Etape4': 'Egoutter les pâtes et les mélanger à la préparation','Etape5': 'Couper les tomates en rondelles','Etape6': 'Dans un plat, alterner les couches de pâtes et de tomates (il faut commencer et terminer avec les pâtes). Puis ajouter les 20g restant de parmesan sur le dessus','Etape7': 'Enfourner le plat pendant 15-20 minutes (Vérifier au bout de 15 minutes)'}"
9;"Casserole de riz à la mexicaine (sans fromage)";30;2;"{'Etape1': 'Dans une poêle, faites revenir l’oignon et l’ail dans l’huile.','Etape2': 'Ajoutez la viande et la faire cuire en l’émiettant à l’aide d’une cuillère.','Etape3': 'Incorporez le riz, les haricots, les tomates, le bouillon, le piment et le cumin. Assaisonnez selon vos gouts.','Etape4': 'Couvrez et faites cuire à feu doux 15min en remuant jusqu’à ce que le riz soit cuit et que le liquide soit absorbé. En fin de cuisson, ajoutez le maïs.','Etape5': 'Si votre casserole ne va pas au four, mettez la préparation dans un plat. Faites cuire au four pendant 10min.','Etape6': 'Laissez tiédir 10 minutes et parsemez la casserole de coriandre selon vos goûts. Vous pouvez servir ce plat avec des chips de tortillas (farine de maïs) et/ou une salade verte.'}"
10;"Casserole de riz à la mexicaine";30;2;"{'Etape1': 'Dans une poêle, faites revenir l’oignon et l’ail dans l’huile.','Etape2': 'Ajoutez la viande et la faire cuire en l’émiettant à l’aide d’une cuillère.','Etape3': 'Incorporez le riz, les haricots, les tomates, le bouillon, le piment et le cumin. Assaisonnez selon vos gouts.','Etape4': 'Couvrez et faites cuire à feu doux 15min en remuant jusqu’à ce que le riz soit cuit et que le liquide soit absorbé. En fin de cuisson, ajoutez le maïs.','Etape5': 'Si votre casserole ne va pas au four, mettez la préparation dans un plat. Saupoudrez de fromage râpé sur tout le plat et faites cuire au four pendant 10min.','Etape6': 'Laissez tiédir 10 minutes et parsemez la casserole de coriandre selon vos goûts. Vous pouvez servir ce plat avec des chips de tortillas (farine de maïs) et/ou une salade verte.'}"
11;"L'indémodable salade de riz (sans mayo)";15;3;"{'Etape1': 'Faites bouillir de l#eau et cuire le riz selon les indications du paquet.','Etape2': 'Faites cuire les œufs dans une grande casserole d#eau pendant 9min puis retirer la coquille.','Etape3': 'Dans un grand saladier, déposez le riz. Ajoutez les tomates et poivron et coupé en dès, l#oignon rouge finement ciselé, le thon, les cœurs de palmier, le maïs et le persil. Mélanger. Ajoutez les œufs en dernier.'}"
